Metric,Train,Test
Accuracy,0.9488591660110149,0.8400629260618773
Precision,0.7543478260869565,0.44366197183098594
Recall,0.9532967032967034,0.46153846153846156
F1-Score,0.8422330097087378,0.4524236983842011
