Modèle,Accuracy,Precision,Recall,F1-Score,Temps (s)
Balanced Random Forest,75.77346617724174,33.79073756432247,72.16117216117216,46.02803738317757,3.412513494491577
Random Forest (Optimisé),84.00629260618773,44.36619718309859,46.15384615384615,45.24236983842011,2.768202066421509
Gradient Boosting,86.83796539066597,59.64912280701754,24.90842490842491,35.14211886304909,23.597902536392212
Random Forest (Baseline),86.10382800209754,53.38983050847458,23.076923076923077,32.22506393861892,3.0760812759399414
Gradient Boosting (Optimisé),86.89040377556371,63.52941176470588,19.78021978021978,30.16759776536313,28.531235456466675
